127.0.0.1 - - [11/Jul/2021:13:13:42 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Jul/2021:13:13:44 +0900] "GET /GivEngel/index.jsp HTTP/1.1" 200 39536
0:0:0:0:0:0:0:1 - - [11/Jul/2021:13:13:45 +0900] "GET /GivEngel/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2021:13:13:45 +0900] "GET /GivEngel/img/latest-product/prepare.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2021:13:13:45 +0900] "GET /GivEngel/img/blog/blog-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2021:13:13:45 +0900] "GET /GivEngel/img/blog/blog-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2021:13:13:45 +0900] "GET /GivEngel/img/blog/blog-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2021:13:13:45 +0900] "GET /GivEngel/img/featured/feature-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2021:13:13:45 +0900] "GET /GivEngel/img/hero/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2021:13:13:45 +0900] "GET /GivEngel/img/featured/feature-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2021:13:13:45 +0900] "GET /GivEngel/img/featured/feature-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2021:13:13:45 +0900] "GET /GivEngel/img/featured/feature-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2021:13:13:45 +0900] "GET /GivEngel/img/featured/feature-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2021:13:13:45 +0900] "GET /GivEngel/img/featured/feature-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2021:13:13:45 +0900] "GET /GivEngel/img/featured/feature-7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2021:13:13:45 +0900] "GET /GivEngel/img/featured/feature-8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2021:13:13:45 +0900] "GET /GivEngel/img/categories/cat-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2021:13:13:45 +0900] "GET /GivEngel/img/categories/cat-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2021:13:13:45 +0900] "GET /GivEngel/img/categories/cat-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2021:13:13:45 +0900] "GET /GivEngel/img/categories/cat-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2021:13:13:45 +0900] "GET /GivEngel/img/categories/cat-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2021:13:13:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Jul/2021:13:13:47 +0900] "GET /GivEngel/Givengel?cmd=contact-page HTTP/1.1" 200 15319
0:0:0:0:0:0:0:1 - - [11/Jul/2021:13:13:47 +0900] "GET /GivEngel/img/breadcrumb.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2021:13:14:04 +0900] "GET /GivEngel/Givengel?cmd=contact-page HTTP/1.1" 200 15319
0:0:0:0:0:0:0:1 - - [11/Jul/2021:13:14:07 +0900] "GET /GivEngel/Givengel?cmd=main-page HTTP/1.1" 200 39536
0:0:0:0:0:0:0:1 - - [11/Jul/2021:13:14:12 +0900] "GET /GivEngel/Givengel?cmd=login-page HTTP/1.1" 200 11601
0:0:0:0:0:0:0:1 - - [11/Jul/2021:13:14:12 +0900] "GET /GivEngel/img/login.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2021:13:14:12 +0900] "GET /GivEngel/js_page/loginForm.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2021:13:14:15 +0900] "GET /GivEngel/Givengel?cmd=join-page HTTP/1.1" 200 13017
0:0:0:0:0:0:0:1 - - [11/Jul/2021:13:14:15 +0900] "GET /GivEngel/img/join.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2021:13:14:15 +0900] "GET /GivEngel/js_page/joinForm.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jul/2021:13:14:20 +0900] "GET /GivEngel/Givengel?cmd=find-page HTTP/1.1" 200 12113
