127.0.0.1 - - [11/Jul/2021:19:31:21 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Jul/2021:19:31:22 +0900] "GET /test/index.html HTTP/1.1" 200 11998
0:0:0:0:0:0:0:1 - - [11/Jul/2021:19:31:22 +0900] "GET /test/css/base.css HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [11/Jul/2021:19:31:22 +0900] "GET /test/libs/jquery-ui-1.10.4.custom.min.js HTTP/1.1" 200 228539
0:0:0:0:0:0:0:1 - - [11/Jul/2021:19:31:22 +0900] "GET /test/css/main.css HTTP/1.1" 200 3137
0:0:0:0:0:0:0:1 - - [11/Jul/2021:19:31:22 +0900] "GET /test/libs/jquery.cookie.js HTTP/1.1" 200 1843
0:0:0:0:0:0:0:1 - - [11/Jul/2021:19:31:22 +0900] "GET /test/js/exam.js HTTP/1.1" 200 5680
0:0:0:0:0:0:0:1 - - [11/Jul/2021:19:31:22 +0900] "GET /test/css/reset.css HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [11/Jul/2021:19:31:22 +0900] "GET /test/css/common.css HTTP/1.1" 200 3924
0:0:0:0:0:0:0:1 - - [11/Jul/2021:19:31:22 +0900] "GET /test/libs/jquery-1.10.2.min.js HTTP/1.1" 200 93107
0:0:0:0:0:0:0:1 - - [11/Jul/2021:19:31:22 +0900] "GET /test/libs/jquery.bxslider.min.js HTTP/1.1" 200 19123
0:0:0:0:0:0:0:1 - - [11/Jul/2021:19:31:22 +0900] "GET /test/images/logo.gif HTTP/1.1" 200 8813
0:0:0:0:0:0:0:1 - - [11/Jul/2021:19:31:22 +0900] "GET /test/images/util_menu_1.gif HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [11/Jul/2021:19:31:22 +0900] "GET /test/images/login_title_id.gif HTTP/1.1" 200 1124
0:0:0:0:0:0:0:1 - - [11/Jul/2021:19:31:22 +0900] "GET /test/images/login_title_pw.gif HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [11/Jul/2021:19:31:22 +0900] "GET /test/images/login_btn.gif HTTP/1.1" 200 4358
